"VCCPSINTFP (uV)","VCCPSINTFP (uA)","VCCINTLP (uV)","VCCINTLP (uA)","VCCPSAUX (uV)","VCCPSAUX (uA)","VCCPSPLL (uV)","VCCPSPLL (uA)","MGTRAVCC (uV)","MGTRAVCC (uA)","MGTRAVTT (uV)","MGTRAVTT (uA)","VCCPSDDR (uV)","VCCPSDDR (uA)","VCCOPS (uV)","VCCOPS (uA)","VCCOPS3 (uV)","VCCOPS3 (uA)","VCCPSDDRPLL (uV)","VCCPSDDRPLL (uA)","VCCINT (uV)","VCCINT (uA)","VCCBRAM (uV)","VCCBRAM (uA)","VCCAUX (uV)","VCCAUX (uA)","VCC1V2 (uV)","VCC1V2 (uA)","VCC3V3 (uV)","VCC3V3 (uA)","VADJ_FMC (uV)","VADJ_FMC (uA)","MGTAVCC (uV)","MGTAVCC (uA)","MGTAVTT (uV)","MGTAVTT (uA)","PS Power(W)","PL Power(W)","MGT Power(W)","Total Power(W)"
843,1641,849,321,1818,10,1202,29,850,98,1812,15,1192,161,1795,1,1822,0,1815,24,849,966,848,42,1798,155,1201,21,3293,7,1793,0,897,33,1200,18,1.9444,1.18271,0.184732,3.31185
843,1641,850,321,1818,9,1202,29,850,98,1812,15,1192,163,1795,0,1822,0,1815,24,847,960,848,42,1798,155,1201,21,3295,7,1795,0,897,33,1200,18,1.94529,1.17571,0.184746,3.30575
843,1638,849,321,1818,10,1202,29,850,98,1812,15,1192,160,1793,1,1822,1,1815,24,849,963,848,42,1798,155,1201,21,3293,7,1795,0,897,33,1201,18,1.94068,1.18017,0.18475,3.3056
843,1642,850,321,1818,10,1202,29,850,98,1812,15,1192,162,1795,0,1822,0,1816,24,847,966,848,42,1798,155,1201,21,3293,8,1795,0,898,33,1201,18,1.94678,1.18407,0.188076,3.31893
842,1637,849,321,1818,10,1201,29,850,98,1812,15,1192,162,1793,1,1822,0,1816,24,847,965,848,42,1797,155,1201,21,3293,8,1795,0,897,33,1201,18,1.94058,1.18307,0.188043,3.31169
844,1639,849,321,1818,10,1201,29,850,98,1812,15,1192,159,1793,0,1822,0,1815,24,849,966,850,42,1798,155,1201,22,3292,7,1795,0,897,33,1200,18,1.94194,1.18399,0.184725,3.31066
843,1634,849,321,1818,10,1202,29,851,98,1812,15,1192,161,1793,1,1822,0,1815,24,847,965,848,42,1798,155,1200,22,3293,6,1795,0,897,33,1201,18,1.9385,1.17782,0.181555,3.29787
842,1631,850,321,1818,10,1201,29,850,98,1812,15,1192,161,1795,0,1822,0,1815,25,847,965,848,42,1798,155,1200,22,3293,7,1793,0,897,33,1200,18,1.93645,1.18111,0.184732,3.30229
842,1634,850,321,1818,10,1201,28,850,98,1812,15,1192,161,1793,1,1822,0,1816,24,849,965,848,42,1798,155,1201,21,3292,7,1793,0,898,33,1200,18,1.93598,1.18186,0.184758,3.3026
843,1633,849,321,1818,10,1201,29,850,98,1812,15,1192,161,1795,0,1822,0,1816,24,847,963,848,42,1798,155,1201,21,3292,7,1793,0,898,33,1200,18,1.93765,1.17823,0.184758,3.30064
843,1634,849,321,1818,10,1201,29,850,98,1812,15,1193,161,1795,0,1822,0,1816,24,847,963,850,42,1798,155,1201,21,3293,8,1795,0,897,33,1200,18,1.93866,1.18162,0.188025,3.3083
842,1636,850,321,1817,10,1202,29,850,98,1812,15,1192,161,1793,1,1822,0,1816,25,847,966,848,42,1797,155,1201,22,3293,7,1795,0,897,33,1200,18,1.9407,1.18183,0.184732,3.30726
842,1638,850,321,1817,10,1201,29,850,98,1812,15,1192,162,1793,0,1822,0,1815,24,847,966,848,42,1798,155,1200,21,3293,8,1795,0,898,33,1200,18,1.94171,1.18405,0.188058,3.31382
842,1635,849,321,1818,10,1201,29,850,98,1812,15,1192,161,1795,0,1821,0,1815,24,849,965,850,42,1797,156,1201,21,3295,7,1795,0,897,33,1200,18,1.93768,1.1836,0.184746,3.30603
843,1642,850,321,1818,10,1202,29,850,98,1812,15,1192,161,1793,1,1822,0,1815,24,849,967,850,42,1797,155,1201,21,3293,8,1795,0,897,33,1200,19,1.94557,1.18678,0.189225,3.32157
843,1639,849,321,1818,10,1202,29,850,98,1812,15,1192,161,1793,0,1822,0,1816,24,849,968,848,42,1798,155,1201,22,3293,7,1793,0,897,33,1200,18,1.94274,1.18561,0.184732,3.31308
842,1642,849,321,1817,10,1201,29,848,98,1812,15,1192,161,1793,1,1822,0,1815,24,847,967,850,42,1798,155,1201,21,3293,7,1795,0,898,33,1200,18,1.94356,1.18171,0.184569,3.30984
842,1637,850,321,1817,10,1202,29,850,98,1812,16,1192,162,1795,0,1822,0,1815,24,847,963,850,42,1797,155,1201,21,3292,7,1795,0,897,33,1200,18,1.9409,1.17816,0.186537,3.30559
